epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5349,0.50436,0.61028,1.11961,0.91098,0.84826,0.93793,0.7834,0.61043,0.54622,1.22804,0.000331723,0.000331723,0.000331723
2,70.6264,0.53335,0.62008,1.13921,0.8716,0.86337,0.92364,0.72374,0.76474,0.63079,1.41275,0.000658472,0.000658472,0.000658472
3,92.4346,0.56504,0.67017,1.16759,0.85297,0.79208,0.88952,0.70353,0.7205,0.73182,1.33879,0.000978622,0.000978622,0.000978622
4,114.779,0.57858,0.68607,1.17044,0.81141,0.81923,0.88368,0.6651,0.84082,0.75628,1.45125,0.0009703,0.0009703,0.0009703
5,137.86,0.5675,0.6712,1.16082,0.79595,0.77449,0.88378,0.7029,0.70455,0.82939,1.36512,0.0009604,0.0009604,0.0009604
6,171.064,0.5625,0.66853,1.16327,0.83596,0.86547,0.93239,0.74945,0.70066,0.62012,1.32001,0.0009505,0.0009505,0.0009505
7,196.036,0.5735,0.67485,1.17275,0.85408,0.87653,0.92032,0.73599,0.70985,0.61667,1.33417,0.0009406,0.0009406,0.0009406
8,220.472,0.56875,0.66292,1.17061,0.78514,0.80595,0.85025,0.66674,0.75242,0.84683,1.37789,0.0009307,0.0009307,0.0009307
9,244.323,0.55578,0.64009,1.16,0.82627,0.85227,0.91109,0.73096,0.72417,0.64976,1.33623,0.0009208,0.0009208,0.0009208
10,266.858,0.55739,0.63825,1.15788,0.84558,0.81897,0.91968,0.7394,0.69081,0.68657,1.30076,0.0009109,0.0009109,0.0009109
11,292.684,0.56768,0.6366,1.16363,0.90924,0.85586,0.93964,0.76343,0.66116,0.54911,1.28133,0.000901,0.000901,0.000901
12,315.496,0.54357,0.62657,1.14735,0.86765,0.85843,0.93552,0.76717,0.67091,0.58134,1.28736,0.0008911,0.0008911,0.0008911
13,343.996,0.54204,0.61522,1.14639,0.88855,0.88859,0.94294,0.77921,0.64782,0.51087,1.25238,0.0008812,0.0008812,0.0008812
14,368.065,0.53489,0.61433,1.14541,0.87893,0.85647,0.92768,0.74643,0.70178,0.62565,1.30095,0.0008713,0.0008713,0.0008713
15,390.516,0.53905,0.60764,1.14159,0.83911,0.87537,0.92637,0.75142,0.69789,0.62357,1.30295,0.0008614,0.0008614,0.0008614
16,415.729,0.52656,0.58411,1.13767,0.92418,0.86459,0.93876,0.76598,0.67042,0.54323,1.27082,0.0008515,0.0008515,0.0008515
17,437.227,0.52893,0.59819,1.13852,0.88398,0.89808,0.94319,0.77096,0.66473,0.52343,1.27593,0.0008416,0.0008416,0.0008416
18,458.725,0.5211,0.58903,1.13843,0.91756,0.84153,0.92792,0.75782,0.65462,0.53306,1.25241,0.0008317,0.0008317,0.0008317
19,480.193,0.522,0.5906,1.13061,0.92323,0.88756,0.94281,0.76527,0.66915,0.51536,1.298,0.0008218,0.0008218,0.0008218
20,501.614,0.52785,0.5703,1.13947,0.92731,0.87553,0.94935,0.78237,0.65913,0.50468,1.25943,0.0008119,0.0008119,0.0008119
21,523.085,0.5076,0.55086,1.12763,0.89905,0.88534,0.94006,0.7758,0.64915,0.53345,1.24714,0.000802,0.000802,0.000802
