epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5525,0.78153,1.55001,1.35823,0.62084,0.60051,0.61396,0.41777,0.93297,1.65159,1.62307,0.000332046,0.000332046,0.000332046
2,167.874,0.80893,1.19519,1.3739,0.41723,0.55775,0.45237,0.28656,1.14282,2.00103,1.76619,0.000658792,0.000658792,0.000658792
3,225.322,0.80581,1.18687,1.36884,0.51949,0.60266,0.60596,0.37384,1.22489,1.60624,1.91377,0.000978938,0.000978938,0.000978938
4,274.433,0.77996,1.13182,1.34938,0.69771,0.74123,0.78206,0.59029,0.7862,1.04838,1.42772,0.0009703,0.0009703,0.0009703
5,325.685,0.7545,1.07603,1.33022,0.7249,0.68263,0.75807,0.57696,0.77319,1.22788,1.38695,0.0009604,0.0009604,0.0009604
6,381.755,0.74134,1.03509,1.31826,0.73468,0.68919,0.77787,0.59344,0.82057,1.16119,1.45253,0.0009505,0.0009505,0.0009505
7,430.934,0.73101,0.98881,1.30689,0.82269,0.8174,0.87014,0.68268,0.73852,0.77243,1.32591,0.0009406,0.0009406,0.0009406
8,479.885,0.70414,0.95232,1.28551,0.84855,0.84399,0.90504,0.71927,0.6904,0.67152,1.30895,0.0009307,0.0009307,0.0009307
9,526.562,0.6835,0.90797,1.27472,0.85445,0.81498,0.9041,0.72127,0.69268,0.69223,1.27552,0.0009208,0.0009208,0.0009208
10,573.461,0.67479,0.88741,1.25868,0.8268,0.83141,0.90447,0.71005,0.72712,0.73279,1.32524,0.0009109,0.0009109,0.0009109
11,620.096,0.66892,0.85759,1.26007,0.86882,0.81285,0.91088,0.72336,0.74351,0.66905,1.34638,0.000901,0.000901,0.000901
12,666.911,0.66451,0.86283,1.25558,0.88774,0.85326,0.93542,0.74673,0.71609,0.59331,1.29486,0.0008911,0.0008911,0.0008911
13,713.814,0.65388,0.84171,1.25057,0.87755,0.87803,0.93137,0.74393,0.71239,0.60663,1.30791,0.0008812,0.0008812,0.0008812
14,760.399,0.64899,0.83776,1.24563,0.88481,0.86907,0.93436,0.75525,0.67955,0.60287,1.27205,0.0008713,0.0008713,0.0008713
15,807.157,0.63899,0.80955,1.23585,0.82165,0.83336,0.90793,0.74163,0.65555,0.7191,1.25047,0.0008614,0.0008614,0.0008614
16,853.515,0.64374,0.7922,1.23856,0.87013,0.86293,0.9324,0.75323,0.68113,0.57963,1.25864,0.0008515,0.0008515,0.0008515
17,900.137,0.62282,0.78668,1.22554,0.88841,0.86225,0.93897,0.77184,0.65251,0.54916,1.23586,0.0008416,0.0008416,0.0008416
18,946.958,0.62088,0.76661,1.21698,0.88904,0.87075,0.92368,0.75887,0.64418,0.57309,1.23841,0.0008317,0.0008317,0.0008317
19,993.606,0.62196,0.76298,1.2245,0.86905,0.84183,0.91821,0.75878,0.65111,0.6012,1.244,0.0008218,0.0008218,0.0008218
