epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3097,0.63182,0.54027,1.09273,0.86745,0.89009,0.93003,0.76906,0.84137,0.57193,1.22733,0.001,0.001,0.001
2,54.2201,0.69984,0.61097,1.13405,0.91719,0.88765,0.94237,0.79232,0.78344,0.50404,1.17317,0.000999756,0.000999756,0.000999756
3,75.9158,0.69432,0.60443,1.13014,0.89229,0.89332,0.94235,0.80057,0.75652,0.50592,1.14831,0.000999023,0.000999023,0.000999023
4,99.383,0.67827,0.58454,1.11971,0.91306,0.90479,0.95018,0.80032,0.76311,0.50871,1.16484,0.000997803,0.000997803,0.000997803
5,120.742,0.67747,0.58842,1.12791,0.90661,0.90719,0.95056,0.79949,0.78728,0.50061,1.17732,0.000996097,0.000996097,0.000996097
6,141.168,0.682,0.58302,1.12512,0.9029,0.89684,0.94359,0.79421,0.79162,0.52363,1.17919,0.000993906,0.000993906,0.000993906
7,161.394,0.68095,0.59185,1.12729,0.90265,0.88361,0.94372,0.79418,0.77683,0.50549,1.18316,0.000991232,0.000991232,0.000991232
8,180.775,0.65951,0.57519,1.11308,0.91982,0.87673,0.94677,0.80842,0.74895,0.50591,1.14972,0.000988079,0.000988079,0.000988079
9,199.835,0.66426,0.57643,1.11254,0.91617,0.89168,0.94085,0.79584,0.76844,0.49529,1.166,0.000984449,0.000984449,0.000984449
10,218.853,0.665,0.56037,1.11045,0.90992,0.91446,0.95154,0.81438,0.75062,0.48572,1.16288,0.000980345,0.000980345,0.000980345
11,237.943,0.66284,0.57555,1.11423,0.90668,0.89914,0.9466,0.79981,0.77997,0.50153,1.17702,0.000975773,0.000975773,0.000975773
12,256.972,0.65823,0.55812,1.11122,0.91693,0.9004,0.94613,0.8041,0.76899,0.497,1.16909,0.000970736,0.000970736,0.000970736
13,275.985,0.65172,0.55234,1.11326,0.92229,0.87874,0.945,0.80275,0.7908,0.49256,1.17639,0.000965239,0.000965239,0.000965239
14,294.921,0.64866,0.55944,1.10789,0.93465,0.89272,0.95438,0.81139,0.74305,0.48807,1.13975,0.000959289,0.000959289,0.000959289
15,313.879,0.64394,0.55568,1.10258,0.90809,0.89486,0.94324,0.80234,0.7671,0.48332,1.15437,0.000952889,0.000952889,0.000952889
16,332.789,0.64966,0.54866,1.109,0.91313,0.89366,0.94779,0.79367,0.81097,0.51011,1.20336,0.000946048,0.000946048,0.000946048
17,351.76,0.64441,0.54878,1.10845,0.92901,0.88584,0.94826,0.80496,0.77582,0.48975,1.18215,0.000938772,0.000938772,0.000938772
18,370.914,0.64366,0.54484,1.10459,0.8986,0.87319,0.94061,0.79675,0.76728,0.53369,1.15157,0.000931067,0.000931067,0.000931067
19,389.883,0.63954,0.53903,1.10135,0.90289,0.89797,0.94525,0.78905,0.80252,0.49457,1.19032,0.000922942,0.000922942,0.000922942
20,408.749,0.63985,0.53665,1.09774,0.93587,0.88543,0.95614,0.81469,0.76175,0.46222,1.15606,0.000914405,0.000914405,0.000914405
21,428.057,0.63145,0.52739,1.09732,0.91258,0.89874,0.94944,0.80116,0.75971,0.47544,1.16061,0.000905463,0.000905463,0.000905463
22,446.95,0.62584,0.52881,1.09103,0.91546,0.90132,0.94982,0.81197,0.73947,0.46577,1.14702,0.000896127,0.000896127,0.000896127
23,465.812,0.61959,0.52551,1.08926,0.93355,0.89691,0.95214,0.81253,0.76529,0.47078,1.16399,0.000886404,0.000886404,0.000886404
24,484.924,0.62716,0.53014,1.09544,0.93253,0.88286,0.93863,0.7925,0.76065,0.48427,1.15322,0.000876305,0.000876305,0.000876305
