epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5008,1.27109,0.94277,1.26551,0.83612,0.85757,0.91634,0.69153,1.37273,0.70223,1.53779,0.001,0.001,0.001
2,61.1055,1.19587,0.89088,1.20584,0.84732,0.84421,0.91709,0.71178,1.25426,0.67936,1.44183,0.000999756,0.000999756,0.000999756
3,88.3954,1.18087,0.85932,1.20602,0.84825,0.85797,0.92382,0.70838,1.28241,0.64725,1.41856,0.000999023,0.000999023,0.000999023
4,115.303,1.14272,0.82936,1.18177,0.87092,0.83953,0.9199,0.72245,1.20427,0.62455,1.37891,0.000997803,0.000997803,0.000997803
5,142.807,1.13739,0.81702,1.18562,0.87484,0.86976,0.94235,0.74723,1.11003,0.5668,1.33145,0.000996097,0.000996097,0.000996097
6,169.848,1.10871,0.79867,1.17456,0.88745,0.85879,0.9314,0.72318,1.24825,0.57438,1.42663,0.000993906,0.000993906,0.000993906
7,197.309,1.10969,0.79352,1.18361,0.89641,0.86991,0.94243,0.7529,1.13591,0.56758,1.33131,0.000991232,0.000991232,0.000991232
8,224.627,1.07875,0.77869,1.16631,0.88727,0.86648,0.93929,0.75693,1.081,0.5912,1.31481,0.000988079,0.000988079,0.000988079
9,252.713,1.06398,0.75364,1.17002,0.91255,0.86746,0.9411,0.75002,1.1549,0.56761,1.34086,0.000984449,0.000984449,0.000984449
10,279.912,1.06855,0.77228,1.15539,0.91011,0.84351,0.93917,0.75764,1.08266,0.57215,1.3128,0.000980345,0.000980345,0.000980345
11,307.243,1.07574,0.77321,1.16709,0.90361,0.86555,0.934,0.76592,1.02851,0.55781,1.25174,0.000975773,0.000975773,0.000975773
12,334.575,1.04902,0.74312,1.15678,0.89903,0.87808,0.94539,0.76265,1.1094,0.55739,1.30154,0.000970736,0.000970736,0.000970736
13,362.236,1.04427,0.74435,1.16362,0.91483,0.86688,0.94542,0.78337,1.0059,0.53437,1.23822,0.000965239,0.000965239,0.000965239
14,389.112,1.02697,0.74546,1.1394,0.89781,0.85206,0.93952,0.75929,1.06717,0.55979,1.30198,0.000959289,0.000959289,0.000959289
15,415.58,1.02666,0.73909,1.14166,0.87727,0.8917,0.93985,0.76776,1.05229,0.5393,1.26248,0.000952889,0.000952889,0.000952889
16,442.279,1.02067,0.72418,1.14438,0.90198,0.86568,0.93986,0.769,1.07137,0.54366,1.27739,0.000946048,0.000946048,0.000946048
17,469.423,1.01835,0.71913,1.14743,0.87372,0.8729,0.93275,0.76026,1.0466,0.59052,1.2792,0.000938772,0.000938772,0.000938772
18,496.423,1.01696,0.72194,1.14811,0.88344,0.89106,0.93046,0.77109,1.04225,0.52157,1.25687,0.000931067,0.000931067,0.000931067
19,523.924,1.01959,0.7179,1.14767,0.89187,0.90201,0.95079,0.78864,1.00994,0.48038,1.23587,0.000922942,0.000922942,0.000922942
20,551.944,0.99142,0.69388,1.13845,0.92346,0.86145,0.94321,0.77778,1.0042,0.52809,1.23318,0.000914405,0.000914405,0.000914405
21,579.686,0.99374,0.69514,1.14392,0.88681,0.84076,0.92021,0.74807,1.05261,0.63407,1.26172,0.000905463,0.000905463,0.000905463
22,610.694,0.98445,0.68148,1.13592,0.93212,0.88185,0.94975,0.78665,0.99697,0.50526,1.22349,0.000896127,0.000896127,0.000896127
