epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0922,0.81728,1.59591,1.2348,0.8327,0.77057,0.87068,0.6914,0.92046,1.77415,1.29873,0.001,0.001,0.001
2,78.5573,0.8366,1.64306,1.23732,0.8457,0.80161,0.89119,0.73396,0.84082,1.41135,1.22907,0.000999756,0.000999756,0.000999756
3,111.112,0.82367,1.60046,1.22648,0.86616,0.88361,0.93805,0.77955,0.81274,1.12676,1.22602,0.000999023,0.000999023,0.000999023
4,133.518,0.8305,1.60295,1.23245,0.92148,0.87756,0.94863,0.78089,0.83791,1.03701,1.20479,0.000997803,0.000997803,0.000997803
5,157.886,0.82318,1.56658,1.2292,0.91123,0.87308,0.94637,0.77997,0.8445,1.07546,1.22021,0.000996097,0.000996097,0.000996097
6,180.08,0.82496,1.57142,1.22771,0.90506,0.8711,0.9453,0.78166,0.83958,1.04303,1.21943,0.000993906,0.000993906,0.000993906
7,206.439,0.83211,1.58268,1.22842,0.83028,0.82232,0.9041,0.73707,0.87515,1.39949,1.24692,0.000991232,0.000991232,0.000991232
8,231.311,0.81141,1.53794,1.21944,0.90706,0.86632,0.94127,0.78303,0.84811,1.08448,1.23191,0.000988079,0.000988079,0.000988079
9,260.674,0.82491,1.53671,1.22235,0.90853,0.87022,0.9513,0.79547,0.81155,0.98029,1.19656,0.000984449,0.000984449,0.000984449
10,285.106,0.80771,1.52871,1.21121,0.88446,0.8971,0.95361,0.78298,0.86712,1.03064,1.24446,0.000980345,0.000980345,0.000980345
11,308.351,0.80576,1.47897,1.2148,0.85933,0.88358,0.93082,0.77816,0.80052,1.10558,1.19021,0.000975773,0.000975773,0.000975773
12,332.681,0.7855,1.47306,1.20065,0.9036,0.8679,0.93439,0.77619,0.81163,1.08366,1.1804,0.000970736,0.000970736,0.000970736
13,354.463,0.79126,1.49401,1.20496,0.86291,0.87094,0.92933,0.768,0.82781,1.19915,1.21837,0.000965239,0.000965239,0.000965239
14,375.892,0.80301,1.47701,1.21013,0.87441,0.87226,0.93869,0.78132,0.83155,1.16653,1.21584,0.000959289,0.000959289,0.000959289
15,397.052,0.77926,1.44026,1.19802,0.92484,0.8951,0.95295,0.7959,0.8547,1.01634,1.23882,0.000952889,0.000952889,0.000952889
16,418.582,0.7873,1.42286,1.19861,0.88073,0.88436,0.93949,0.78539,0.81921,1.06247,1.19952,0.000946048,0.000946048,0.000946048
17,439.93,0.77291,1.42496,1.19764,0.87602,0.89857,0.94611,0.78696,0.82513,1.02597,1.21446,0.000938772,0.000938772,0.000938772
18,461.389,0.78931,1.45388,1.20188,0.94138,0.86238,0.95107,0.79518,0.81148,1.00891,1.18389,0.000931067,0.000931067,0.000931067
19,482.677,0.76552,1.41709,1.18944,0.91949,0.8892,0.94859,0.79228,0.82529,1.01602,1.21803,0.000922942,0.000922942,0.000922942
20,503.888,0.76322,1.39671,1.19078,0.91171,0.88426,0.94761,0.78519,0.85211,1.02504,1.22918,0.000914405,0.000914405,0.000914405
21,525.394,0.76662,1.37761,1.19143,0.90396,0.88932,0.94213,0.79521,0.81947,1.01534,1.2029,0.000905463,0.000905463,0.000905463
22,546.68,0.77174,1.37815,1.19132,0.95027,0.87989,0.95618,0.81729,0.77552,0.88715,1.16169,0.000896127,0.000896127,0.000896127
23,568.138,0.75175,1.35442,1.17938,0.90684,0.89374,0.95265,0.79067,0.84814,1.00649,1.21956,0.000886404,0.000886404,0.000886404
24,589.629,0.75152,1.35232,1.18521,0.90427,0.89235,0.94698,0.79484,0.83594,0.98723,1.21862,0.000876305,0.000876305,0.000876305
25,610.869,0.74769,1.35128,1.17471,0.91296,0.89316,0.94807,0.79806,0.82833,0.98474,1.20977,0.000865839,0.000865839,0.000865839
26,632.396,0.7547,1.34579,1.18399,0.91539,0.89319,0.9561,0.80711,0.80433,0.93212,1.1879,0.000855018,0.000855018,0.000855018
27,653.664,0.73707,1.31979,1.17632,0.9349,0.8823,0.95349,0.8132,0.77869,0.95783,1.16836,0.000843851,0.000843851,0.000843851
